,Review,Title
2,"
If you read up a bit of ancient history (even fiction) it feels as if history comes alive around you at this ancient site. You can almost smell the food cooking over an ancient fire mixed with smell of 80000 romans and the fear and blood of the animals and people in the arena. I don't think a tour guide...


More  


",You have to see it
3,"
Excellent guided tour by Walking Rome Tours. Four hours of educational touring. Used headsets for continual travelogue.
",Vacation
4,"
A must see. Gives an excellent perspective on what life was like during the Roman Era. Many other things to see around the area. Plan ahead to spend at least a day in the area.
",Awesome
5,"
Of course it's 5 stars!! I'm not even sure why it would need a review. It won't disappoint. I'm not sure why anyone buys tickets at the coleseum. Buy the combo ticket at the forum (no line); see the Palestine hill and the forum (they are great as well). Then go straight to the prepaid line at the coleseum. There...


More  


",It's the coliseum!!!
6,"
So incredible to see in real life! Absolutely amazing. I didn't go inside but next time I'm in Rome I will.
",Bigger than life
7,"
To walk through and touch the Colosseum is amazing. Our tour guide Francesca is an archeologist who has undertaken excavations on site and her passion was contagious.
",Amazing history
8,"
The Colosseum is an amazing piece of work. Hard to imagine the construction of this monumental piece of architecture in the age it was build! Make it a point to see this if you're ever in Rome.
",Tour of Italy
9,"
Visited the Colosseum on the first Sunday in September and that allowed me free entry also to Palantine Hill and the Roman Forum.
I spent around 1-2 hours roaming these historical sites.
The queues were long but literally took me 10 minutes to gain entry.
It's an awesome place which opened my eyes to history at that time.
",Amazing historical place
0,"
The Colosseum is an amazing piece of work. Hard to imagine the construction of this monumental piece of architecture in the age it was build! Make it a point to see this if you're ever in Rome.
",Tour of Italy
1,"
Visited the Colosseum on the first Sunday in September and that allowed me free entry also to Palantine Hill and the Roman Forum.
I spent around 1-2 hours roaming these historical sites.
The queues were long but literally took me 10 minutes to gain entry.
It's an awesome place which opened my eyes to history at that time.
",Amazing historical place
2,"
As most others have reported, incredible from an architectural, engineering and historical perspective. Really worth seeing. Wife and I hade a Roma pass and we turned up around 0830 (today 22/9/15) & it was still fairly quiet, best time to be at these places. Not sure what one of the commenters below was reporting about not opening until 1100 though...


More  


",Incredible
3,"
This is an awesome place, pro's the inside is just fantastic the information is set out well and you really do get a feel for what it was like. It's a good idea to watch Russell Crowe in The Gladiator before you go. Con's it is hideously overcrowded and we went in the middle of September. We also hired a...


More  


",Hot and overcrowded
4,"
Take your age ID if under 25 as my kids for reduced entry fee. Tour is a waste of money. Audio guide pretty pathetic. Busy but impressive building, a generally Rome handbook will give you the info you need
",Worth seeing
5,"
Magnificent and magical, you can actually feel the history, its bigger than you think. Go later in the day its quieter, we also had a guide, well worth it.
",History all around you
6,"
We visted in peek time and found it ok and easy enough with 3 kids, it was beautiful inside and Luke all of Rome it has amazing architecture. Watch out for the hawkers with there selfie sticks, they are very annoying.
",Colleseum - Beautiful
7,"
Anyone visiting Rome must see this! It is a sight to behold! One of the most well known structures in the world, our guide explained so much of it's history in detail.
",Of course...a Must See
8,"
Last year i visited Rome and saw the Colloseum, but alas it was closed due to works being carried out so decided to walk around it , as you look at its structure you see holes, these were where the fixing were for marble which over the years had been stolen.
So you can imagine how it looked in all...


More  


",Interesting
9,"
Amazing stills. One of the best attractions of the world. Italy without Colosseum is nothing. Do visit this place and buy passes in advance. Also beware of pick-pocketers.
",Remembering Gladiators
0,"
Although u need to pay for this attraction, it is a sure win for everyone. It's an amazing structure that must be seen and with 12€ u get to do it. Lining up to get a ticket for this does not take long and it's really fast.
All in all, lovely attraction and there is 2 gift shops too.
",Must ser
1,"
Purchase your tickets in advance to beat the long queues, it is worth paying that little bit extra as you will be fast tracked to the front and in the 36 degrees heat in September it is worth it. Once inside you can spend the whole day there if you choose. Breath-taking and the history and structure of the Colosseum...


More  


",Colosseum a Must
2,"
buy tickets before you go and PRINT THEM OFF else you have to queue with everyone else. go in the day to walk around and in the night to take photos :) so lovely and romantic
",ticket help!
3,"
I bought the official tour for the third ring and the underground, and the experience was great. It is the only way to access this parts, and I didn't found it expensive (9€). Book it in advance, or you won't be able to enter.
I believe it is a good option to buy it, because it allows you to visit...


More  


",Take the third ring and underground tour!!
4,"
Amazing place to visit - you can't visit Rome without seeing this! I recommend pre-booking your tickets to avoid the long queues and walking round at you leisure rather than booking a tour guide.
",Amazing - Not to be missed
5,"
Admiration of the Roman Empire engineering achievements. We learned about the fact that most gladiators stayed alive after the fights as the Caesars invested a lot in the gladiators schools. Another surprise was that chirurgy and orthopedic medicine advanced dramatically due to the gladiators doctors.
",Eye opener
6,"
The most incredible and breathtaking place I've ever visited. It was busy which was to be expected.
We prebooked the excursion in the UK and had to pick up the tickets nearby. We went at lunchtime and our allocated slot was 4pm. This was on a Monday.
Buy the fast pass tickets! Or you will spend the whole day in...


More  


",Incredible 
7,"
Loved the experience. Fab building, so old, so much history.
pay for a audio guide, worth learning more about the activities, people, history of the place.
didn't que long, went about 10am.
",historical wonder
8,"
Colosseum has a lot of character to it and its like a symbol of rome. Worth taking the Audio guide available in different language and one must read a bit of its history. That would give an added feel to enjoy it.
",Historical Giant!
9,"
It meets all your expectations. It is amazing. I would strongly recommend seeing the colosseum. It is worth while paying extra and getting skip the line passes. The crowds are huge. Bring water because they charge you approx $20 for a bottle of water.
",A must!
